Name,Size,Type,Align.,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,Sav..Throws,Skills,WRI,Senses,Languages,CR,Additional,Font,Additional.Info,Author,realm,has_fly_speed,has_swim_speed
Aarakocra,Medium,Humanoid,NG,12,13,20;50 fly,10,14,10,11,12,11,None,Perception,None,Normal,Auran,0.25,Dive Attack,Monster Manual,NA,Wizards of the Coast,Other,1,0
Aboleth,Large,Aberration,LE,17,135,10;swim 40,21,9,15,18,15,18,CON;INT;WIS,History;Perception,None,Darkvision 120,Deep Speech;Telepathy 120,10,Amphibious; Mucous Cloud;Probing Telepathy;Legendary;Lair,Monster Manual,NA,Wizards of the Coast,Other,0,1
Albino Dwarf Warrior,Medium,Humanoid (Dwarf),ANY,13,30,25,13,13,17,12,14,11,None,Perception;Stealth;Survival,Poisonres,Darkvision 60,Common;Dwarvish,0.25,Dwarven Resilience,Tomb of Annihilation,NA,Wizards of the Coast,Other,0,0
Aldani (Lobsterfolk),Medium,Monstrosity,LN,14,49,20;swim 30,13,8,12,10,14,10,None,Perception;Survival,None,Darkvision 60,Common,1,Amphibious,Tomb of Annihilation,NA,Wizards of the Coast,Other,0,1
Allip,Medium,Undead,NE,13,40,fly 40,6,17,10,17,15,16,INT;WIS,Perception;Stealth,Acidres;fireres;lightningres;thunderres;nonmagicalres;coldimmu;necroticimmu;poisonimmu;charmedimmu;exhaustionimmu;frightenedimmu;grappledimmu;paralyzedimmu;petrifiedimmu;poisonedimmu;proneimmu;restrainedimmu,Darkvision 60,Any,5,Incorporeal Movement,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,1,0
Almiraj,Small,Beast,U,13,3,50,2,16,10,2,14,10,None,Perception;Stealth,None,Darkvision 30;tremorsense 60,None,0,Keen Hearing;Keen Sight,Tomb of Annihilation,NA,Wizards of the Coast,Other,0,0
Ambush Drake,Medium,Dragon,U,13,22,30,13,15,14,4,11,6,None,Perception;Stealth,Poisonres,Darkvision 60,Draconic,0.5,Pack Tactics;Surprise Attack,Hoard of the Dragon Queen,NA,Wizards of the Coast,Other,0,0
Angel;Deva,Medium,Celestial,LG,17,136,30;90 fly,18,18,18,17,20,20,WIS;CHA,Insight;Perception,Radiantres;nonmagicalres;charmedimmu;exhaustionimmu;frightenedimmu,Darkvision 120,All;Telepathy 120,10,Angelic Weapons;Innate Spellcasting;Magic Resistance,Monster Manual,NA,Wizards of the Coast,Astral Plane,1,0
Angel;Planetar,Large,Celestial,LG,19,200,40;120 fly,24,20,24,19,22,25,CON;WIS;CHA,Perception,Radiantres;nonmagicalres;charmedimmu;exhaustionimmu;frightenedimmu,Truesight 120,All;telepathy 120,16,Angelic Weapons;Divine Awareness;Innate Spellcasting;Magic Resistance,Monster Manual,NA,Wizards of the Coast,Astral Plane,1,0
Angel;Solar,Large,Celestial,LG,21,243,50;150 fly,26,22,26,25,25,30,INT;WIS;CHA,Perception,Radiantres;nonmagicalres;necroticimmu;poisonimmu;charmedimmu;exhaustionimmu;frightenedimmu;poisonimmu,Truesight 120,All;telepathy 120,21,Angelic Weapons;Divine Awareness;Innate Spellcasting;Magic Resistance;Legendary,Monster Manual,NA,Wizards of the Coast,Astral Plane,1,0
Animated Object;Armor,Medium,Construct,U,18,33,25,14,11,13,1,3,1,None,None,Poisonimmu;psychicimmu;blindedimmu;charmedimmu;deafenedimmu;exhaustionimmu;frightenedimmu;paralyzedimmu;petrifiedimmu;poisonimmu,Blindsight 60,None,1,Antimagic;False,Monster Manual,NA,Wizards of the Coast,Other,0,0
